Shot Number,Partition,Made,Makes,Save,Missed Goal,conversion_rate_other,prop_nc_missed_other,,prop_shots_other
94,Top Middle Right,1,,0,0,0.689655172,0.625,,0.052336449
95,Top Middle Right,1,,0,0,0.689655172,0.625,,0.052336449
96,Top Middle Right,1,,0,0,0.689655172,0.625,,0.052336449
97,Top Middle Right,0,,1,0,0.724137931,0.625,,0.052336449
98,Top Middle Right,0,,1,0,0.724137931,0.625,,0.052336449
99,Top Middle Right,0,,1,0,0.724137931,0.625,,0.052336449
100,Top Middle Right,0,,0,1,0.724137931,0.571428571,,0.052336449
101,Top Middle Right,0,,0,1,0.724137931,0.571428571,,0.052336449
102,Top Middle Right,0,,0,1,0.724137931,0.571428571,,0.052336449
103,Top Middle Right,0,,0,1,0.724137931,0.571428571,,0.052336449
104,Top Middle Right,0,,0,1,0.724137931,0.571428571,,0.052336449
105,Top Right,1,,0,0,0.892857143,1,,0.05046729
106,Top Right,1,,0,0,0.892857143,1,,0.05046729
107,Top Right,1,,0,0,0.892857143,1,,0.05046729
108,Top Right,1,,0,0,0.892857143,1,,0.05046729
109,Top Right,1,,0,0,0.892857143,1,,0.05046729
110,Top Right,1,,0,0,0.892857143,1,,0.05046729
111,Top Right,1,,0,0,0.892857143,1,,0.05046729
112,Top Right,1,,0,0,0.892857143,1,,0.05046729
113,Top Right,1,,0,0,0.892857143,1,,0.05046729
114,Top Right,1,,0,0,0.892857143,1,,0.05046729
115,Top Right,1,,0,0,0.892857143,1,,0.05046729
116,Top Right,1,,0,0,0.892857143,1,,0.05046729
117,Top Right,1,,0,0,0.892857143,1,,0.05046729
118,Top Right,1,,0,0,0.892857143,1,,0.05046729
119,Top Right,1,,0,0,0.892857143,1,,0.05046729
120,Top Right,1,,0,0,0.892857143,1,,0.05046729
121,Top Right,1,,0,0,0.892857143,1,,0.05046729
122,Top Right,1,,0,0,0.892857143,1,,0.05046729
123,Top Right,1,,0,0,0.892857143,1,,0.05046729
124,Top Right,1,,0,0,0.892857143,1,,0.05046729
125,Top Right,1,,0,0,0.892857143,1,,0.05046729
126,Top Right,1,,0,0,0.892857143,1,,0.05046729
127,Top Right,1,,0,0,0.892857143,1,,0.05046729
128,Top Right,1,,0,0,0.892857143,1,,0.05046729
129,Top Right,1,,0,0,0.892857143,1,,0.05046729
130,Top Right,1,,0,0,0.892857143,1,,0.05046729
131,Top Right,0,,0,1,0.928571429,1,,0.05046729
132,Top Right,0,,0,1,0.928571429,1,,0.05046729
133,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.05046729
134,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
135,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
136,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
137,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
138,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
139,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
140,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
141,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
142,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
143,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
144,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
145,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
146,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
147,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
148,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
149,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
150,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
151,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
152,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
153,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
154,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
155,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
156,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
